/home/sherryli/xsli/softwares/anaconda3/envs/lightning/lib/python3.11/site-packages/torch/nn/modules/transformer.py:379: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
init(warm): 400 disp sweeps @ beta0 -> U/N -2.0685 (T=1.25 liquid)
rung   7: beta 1.0131  ESS   153.5/256  U/N -2.5453  sb 0.07%  369s
rung   8: beta 1.0854  ESS   153.6/256  U/N -2.5846  sb 0.14%  415s
rung   9: beta 1.0855  ESS   153.5/256  U/N -2.6492  sb 0.11%  461s
rung  10: beta 1.1586  ESS   153.6/256  U/N -2.6983  sb 0.14%  507s
rung  11: beta 1.1587  ESS   153.5/256  U/N -2.7394  sb 0.11%  553s
rung  12: beta 1.2353  ESS   153.6/256  U/N -2.7777  sb 0.22%  599s
rung  13: beta 1.2354  ESS   153.6/256  U/N -2.8223  sb 0.19%  646s
rung  14: beta 1.3336  ESS   153.6/256  U/N -2.8398  sb 0.24%  692s
rung  15: beta 1.3337  ESS   153.6/256  U/N -2.8948  sb 0.21%  738s
rung  16: beta 1.4326  ESS   153.6/256  U/N -2.8998  sb 0.18%  784s
rung  17: beta 1.4327  ESS   153.6/256  U/N -2.9571  sb 0.28%  830s
rung  18: beta 1.5377  ESS   153.6/256  U/N -2.9772  sb 0.21%  876s
rung  19: beta 1.5378  ESS   153.6/256  U/N -3.0041  sb 0.24%  922s
rung  20: beta 1.6790  ESS   153.6/256  U/N -3.0253  sb 0.20%  968s
rung  21: beta 1.6791  ESS   153.6/256  U/N -3.0651  sb 0.17%  1015s
rung  22: beta 1.8097  ESS   153.6/256  U/N -3.0708  sb 0.18%  1061s
rung  23: beta 1.8098  ESS   153.6/256  U/N -3.1195  sb 0.20%  1107s
rung  24: beta 1.9526  ESS   153.6/256  U/N -3.1217  sb 0.24%  1153s
rung  25: beta 1.9527  ESS   153.6/256  U/N -3.1529  sb 0.21%  1199s
